galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.multipole_4.einstein_radius,galaxies.lens.multipole_4.centre.centre_0,galaxies.lens.multipole_4.centre.centre_1,galaxies.lens.multipole_4.slope,galaxies.lens.multipole_3.multipole_comps.multipole_comps_0,galaxies.lens.multipole_3.multipole_comps.multipole_comps_1,galaxies.lens.multipole_4.multipole_comps.multipole_comps_0,galaxies.lens.multipole_4.multipole_comps.multipole_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,     log_likelihood,         log_prior,      log_posterior,                weight
                     0.18668403805939837,                   -0.018446247301758617,                      0.21607137163061352,                     0.002841983650893637,                    -0.002882619353196017,             1.5849999941205073,                                       0.010063583349266596,                                       0.006923048956386552,                                      -0.014648871831277797,                                      -0.009270489230684837,       -0.05170504803665182,        0.04943150749149837,-1833.8479789085227, 16.32325010195532,-1817.5247288065673, 3.704089077762119e-10
                     0.24375289080396625,                    -0.03843637331737055,                       0.2387786391376581,                     0.002870296043366508,                     0.000885778629842222,             1.8089667079711669,                                        0.01384621432424276,                                       0.007931510385733512,                                      0.0032928919972918507,                                       0.010688984534992492,       -0.07763840636751042,       0.025194550832817856,-1834.4108536402296,15.934992167809387,  -1818.47586147242, 1.194151513511871e-10
                     0.19651032548892688,                   -0.014445451817867475,                      0.21662570419645238,                     0.007856109050638565,                    -0.001032678014941876,             1.6674580896109612,                                       0.019742592247201995,                                       0.000882323371543409,                                      -0.007708530207156691,                                     -0.0048092034462443815,       -0.04623652869122918,        0.05369751403451275,-1820.1429235362643,16.209717117380304, -1803.933206418884,0.00018773391877533973
                     0.25048547733878485,                    0.026767211447715395,                      0.22792004852211142,                    0.0074043624861517224,                   -0.0014409186664033798,              1.728962355490236,                                       -0.00846262058679336,                                       0.005795630423213713,                                      0.0036963631022129684,                                       -0.00234045370561035,      -0.035268192729036016,       0.057447168454386216,-1828.4161004687862,   17.858128211611,-1810.5579722571752, 3.530429267854221e-08
                      0.1779693889900627,                   -0.010935142769264132,                      0.21964200957868774,                    0.0029681821902503634,                   -8.966185126119155e-05,             1.6913655751351646,                                      0.0019360606176422133,                                       0.022768576367277412,                                      -0.018477774879563504,                                       0.015374056081713572,          -0.05004099691723,       0.030966938517689505, -1810.823553141438,13.621072757972266,-1797.2024803834656,    0.9997871420934099
                     0.22135062581732587,                    -0.03487529950755802,                      0.21753560139886047,                     0.006289872304028424,                   -0.0021685517235988465,             1.6565183877910037,                                          0.016651585805372,                                       0.013348233093393969,                                      -0.008103151271966895,                                      0.0002657987292948886,       -0.07214240294232457,        0.06668534907955469,-1821.4134577550244,14.406180285507356, -1807.007277469517,2.3858166165684098e-05
                     0.27543968302379507,                   9.958283800377211e-05,                      0.23231440571535353,                     0.002117879651011793,                     0.002101810142417613,              1.633213042937401,                                       0.024104088300170873,                                       0.013595660748894045,                                       0.007443356944104436,                                     -0.0056485298026131125,       -0.04848188649816296,        0.08606149040311425, -1831.699602220328,12.452844280232497,-1819.2467579400954, 7.211567088362535e-10
                     0.22536617463132746,                   0.0011091496333656395,                      0.22468978592989117,                     0.006103244405054629,                    -0.002132211914767999,              1.705987327074014,                                      0.0011231182276638214,                                       0.012995222531310436,                                      -0.019507369975763814,                                      -0.013407705260326499,       -0.05027403894511084,        0.05378190489756623,-1832.9454424691207,14.676016388297183,-1818.2694260808235,1.4623635788983578e-10
                     0.18118821161705093,                   -0.020775858500081006,                      0.20920110186116264,                    0.0030216467589111624,                     0.003203216104744436,             1.5492917489372953,                                       0.019988214871142978,                                      -0.002240122179339826,                                       0.006871787392387938,                                      8.725110747917983e-05,      -0.048789417073841934,        0.06320724362173447,-1823.8642057206212,15.939378938678379,-1807.9248267819428, 9.687873605333303e-07
                      0.2131574009396313,                    0.017194410441321466,                      0.21240410675445331,                     0.004535986962089228,                    0.0055831798219005135,             1.5249323108358543,                                       0.007420651878370142,                                       0.015705883175737595,                                       -0.02104464804868479,                                     -0.0004304495223293897,      -0.015905570938799313,          0.077320825708912, -1828.547825112208,14.402564156283857,-1814.1452609559242, 9.694769057801885e-09
