galaxies.source.pixelization.regularization.signal_scale,galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.outer_coefficient,    log_likelihood,         log_prior,     log_posterior,                weight
                                     0.04345068769145578,                                         0.019407124394302033,                                            31.27809504565268,7477.4637659255095, 51.55944022526127,  7529.02320615077, 6.520784403446677e-10
                                     0.03555452773596608,                                          0.01505444176255219,                                            39.70985754863187,7487.4118733140685, 66.45076095993133,    7553.862634274, 7.455221222432336e-06
                                     0.08288357162687059,                                          0.00399717695924118,                                           19.318077945001242, 7480.816868435339,250.22832964395482, 7731.045198079293,1.0192631144560144e-08
                                     0.05791153067778062,                                        0.0003801018634686096,                                            25.03918191480266, 7482.677251541332,2630.9136481395394,10113.590899680872, 6.549986806686094e-08
                                     0.05123477329070565,                                        0.0022444653893225583,                                            34.69028744890906, 7482.329786738317,445.56922323990005, 7927.899009978217, 4.627414238958303e-08
                                     0.05401605354719102,                                        0.0026630335218279346,                                            31.72095635507479,7486.5096162374575, 375.5431329234395, 7862.052749160897,3.0242331207344035e-06
                                      0.0510078727856704,                                         0.013286336550582197,                                            31.18572203048612,   7489.3400599902, 75.29735794954401,7564.6374179397435,  4.77503422575448e-05
                                     0.06089283141200106,                                       0.00025730293131592867,                                             27.1939991902936,  7487.85267666501,3886.5062929507285, 11374.35896961574,1.0789817975732688e-05
                                    0.030783207242816222,                                         0.008296636110463653,                                            45.21738637672478, 7488.337815161352, 120.5528927630282, 7608.890707924381,  1.75269799606906e-05
                                     0.03309782179886649,                                        0.0016884156544018636,                                            52.72588844791125,7487.4561040712415, 592.2901863114862, 8079.746290382727, 7.257462977579803e-06
                                     0.03528460199761474,                                       0.00044706687565926074,                                           39.596572998993345,  7487.63954516184,2236.8270721690205, 9724.466617330861, 8.718711003010298e-06
                                      0.0397005074099435,                                        0.0013281719792794344,                                             38.1441839783074,  7493.65656113216, 752.9407602165535, 8246.597321348714, 0.0008671437681421046
                                    0.039629693370332855,                                       0.00010802520887773848,                                            42.44380924039497,7491.4332506022365, 9257.122069223891,16748.555319826126, 9.386844264398042e-05
                                     0.04500551224857233,                                        0.0035657353660047374,                                            34.65583684991332, 7492.543887360172,280.47591513056454, 7773.019802490737, 0.0002850119227447094
                                     0.03538596107294132,                                         0.000830000218396687,                                           47.154498745175836, 7492.838394045941,1204.8401669705004,  8697.67856101644, 0.0003826182283964555
                                     0.02504001299670906,                                         0.007078553935465834,                                            66.23395178122954, 7494.150214040618,141.28689010542945, 7635.437104146048, 0.0014206328126415528
                                     0.03248063287871007,                                         0.009806484785823931,                                            46.65310000857313, 7494.908380384687,101.99477406151745, 7596.903154446204, 0.0009263597606003898
                                     0.03886215273980073,                                        0.0005597222477613356,                                            41.01045636274813, 7494.698526048109,1786.6247987837335, 9281.323324831843, 0.0007510020135995044
                                     0.02456442023477446,                                          0.02473129309365131,                                            63.86816547730081, 7494.850170992253, 40.45025952807567,7535.3004305203285, 0.0008739763162088147
                                     0.02770475812649336,                                        0.0012459650626258103,                                           59.266938089513644, 7495.619446865017, 802.6075954559905, 8298.227042321008,  0.001886218197737491
                                    0.029477705375825874,                                        0.0001935059338652704,                                            49.03899140450852, 7494.226402742195,5167.8205726599535,12662.046975402149, 0.0004683823863120879
                                    0.028717513516933385,                                       0.00011105474632732168,                                           57.355036849038065, 7495.370937083613, 9004.585299947646, 16499.95623703126,  0.001471178954927605
                                    0.027592694558831475,                                          0.01538820997889844,                                           53.874262135446585, 7494.976598740954,  65.0033781259223, 7559.979976866876, 0.0009917598842615813
                                     0.03286609180528935,                                       0.00040775427917267074,                                             48.8442409717332, 7496.011564150797,2452.4778748645554, 9948.489439015353, 0.0027918128635128184
                                     0.03161373056894551,                                       0.00019603593253366704,                                            51.75255457680002, 7495.276605076017, 5101.124957156692, 12596.40156223271, 0.0013387442957745795
