galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.slope,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,     log_likelihood,         log_prior,      log_posterior,                weight
                      0.3038603445482713,                    0.023254214054944482,                0.2479045811296578,            -0.0018782190354207859,             0.0023108519707073856,      1.7304373657715348,        -0.0325822160254686,        0.04893714263043917,-1824.1606521273939,3.7747006431816676,-1820.3859514842122, 1.310730223036781e-09
                      0.3179052080303185,                    0.001905211666637237,                0.2514183912310928,            -0.0028646537500259927,            -0.0022683539334794134,      1.7586055176163977,       -0.05124727559763519,        0.04058699933253731,-1816.6451265954233,3.4392971797442673, -1813.205829415679,1.3512916923013845e-06
                       0.315219143662901,                    0.021987040424361854,               0.25094099598890135,              -0.00106071040948233,              0.001418612555580308,      1.7504107892646266,       -0.03531535284247406,        0.04753090855584511, -1812.406776020694,3.6890700044866245,-1808.7177060162073,  1.74832733052517e-05
                      0.3111251874248256,                    0.027445800689075473,                0.2462295170820169,            -0.0011268885620842716,              0.002485803483404439,       1.703531825220668,      -0.027741497055632218,       0.062056382465482084,-1814.8300304341087,3.3643979425938286, -1811.465632491515,1.5495897202927921e-06
                     0.30947766215145167,                   0.0044060428421608495,               0.25038016694772797,             -0.003594893073455692,             -0.001956479493843923,      1.7546960592143388,       -0.04762266653280813,       0.037144859310631696,-1822.3405989293774,3.6876441597948597,-1818.6529547695825,1.2672194261012286e-10
                      0.3242437731525691,                  -0.0005550272419484653,                0.2520270112780977,            -0.0021520299173904303,            -0.0026559807334660614,       1.756153479266596,      -0.051870625210024404,       0.046244462561236564,-1809.5450049553542, 3.225194876060798,-1806.3198100792933,4.5699103194209157e-05
                     0.30074451308387556,                    0.031066122746355045,               0.24616210657926807,              -0.00127487471160171,             0.0023748152900447943,      1.7198862109056425,      -0.025279118004573088,        0.05040429351850872,  -1805.90447874546,3.8753005948375647,-1802.0291781506223,  0.001741679025016087
                     0.33748857081030037,                   0.0040799419557879645,                 0.252402546744109,            -0.0005352545512546504,             -0.002590285211325452,       1.748172189898463,       -0.04822332234648684,        0.05712858379621932,-1805.7153833044545, 2.900016368395283,-1802.8153669360593,  0.002104220407628114
                      0.2990189446081751,                     0.03750775117841975,               0.24393808953912796,              -0.00129395625923516,              0.003030178524659481,      1.6952537636423897,       -0.01902327334707279,        0.05785724361376887,-1821.1592888465298,3.7163404913759206, -1817.442948355154,4.1294125401004615e-10
                      0.3180073922646942,                    0.017086817555639008,               0.25248468927669376,            -0.0017603914082580303,             0.0013793253165551534,       1.755796255151761,      -0.040748057467701375,        0.04690202308264656, -1815.678145802493, 3.563320111883832,-1812.1148256906092,2.8375684936221405e-07
                      0.3159921458805044,                     0.01837520375968331,                0.2520387846737431,            -0.0020365986596387544,             0.0020217425608187543,      1.7449374991196247,        -0.0380951482688812,         0.0483941946207022,-1817.1029723867573, 3.597061251298359, -1813.505911135459, 6.825775970826253e-08
                      0.3094406687192844,                    0.017128397574304524,               0.24917264111737786,             -0.002335782981981131,             0.0020511939180151116,      1.7294370661077791,       -0.03800207086039501,        0.05156706502411899,-1807.9157763550834,3.5413529185183035,-1804.3744234365652, 0.0006669612015634207
                      0.3122725567207092,                     0.01734591988057636,                 0.251027422812536,              -0.00229781244617552,              0.001998545047959576,      1.7396262774471958,      -0.038471761247693304,       0.049206693264568016, -1813.804311620605,3.5869198218306515,-1810.2173917987743, 1.848171200943243e-06
                      0.3025865319431975,                    0.031635038079739185,               0.24218551806551858,            -0.0011947489605229227,             0.0022211454390397805,      1.6839369050153872,       -0.02295723041024676,        0.06470753967808618,-1807.5999943335069, 3.384268214764357,-1804.2157261187424, 0.0009146247731963631
                      0.3205634665074744,                    0.014588574694995263,               0.25457729621906383,            -0.0024013360181060236,            -0.0026375570458823734,      1.7910855112176063,       -0.04385800875152803,       0.029773585763407346,-1806.4393427061073,3.8777165993678064,-1802.5616261067394,0.00016636008629888416
                      0.3230671169376611,                    0.011289480772252685,               0.25514853459946785,            -0.0022865239780422196,            -0.0029238958553120826,      1.7960182710096237,      -0.046387125153105675,        0.02952505162889465,  -1807.10727759265, 3.796135731971926,-1803.3111418606782, 8.530386354473814e-05
                     0.31549178976237513,                    0.016176591665484682,               0.25264091910094016,             -0.002401462591586428,            -0.0023379635732266963,        1.77806832787006,      -0.041221046240827126,        0.03153498258833451,-1810.4154390044446,3.9451594688764775,-1806.4702795355681, 3.120703119621839e-06
