galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.outer_coefficient,galaxies.source.pixelization.regularization.signal_scale,   log_likelihood,         log_prior,     log_posterior,                weight
                                       1.2163920104925007e-05,                                          0.40135953295802385,                                     0.21187936613179525,8350.704524828941, 82212.83091029635, 90563.53543512529,  0.002145776704664989
                                        0.0012543014488381411,                                           1.6908309865761664,                                    0.019676768236690623,8350.730522766928, 797.8479386848109, 9148.578461451738,  0.002202293957112816
                                           0.2201826361454141,                                       0.00023807679674222289,                                      0.7145998931902194,8349.562879409586, 4204.867014866628,12554.429894276214, 0.0006851319493782703
                                         0.006207757615364283,                                          0.07571120948989575,                                      0.3089281245443374, 8350.73058660655,174.29684756915032, 8525.027434175701, 0.0022024345552169883
                                          0.35784199019355933,                                          0.08231898041364476,                                      0.3033869116376543,8336.949612492532,14.942396194293664, 8351.892008686826,2.2798275598675017e-09
                                         0.004204014983433016,                                       0.00034643712400284044,                                     0.19311135077046393,8350.730598726524,3124.3945247234115,11475.125123449936,  0.002202461248827613
                                           0.2780767189787365,                                         0.031326915139478294,                                      0.6728760692327255, 8347.50244641782,35.517562161701825, 8383.020008579522, 8.728498498688666e-05
                                        0.0003837020130813828,                                          0.01141584130066094,                                      0.6768772272066802,8350.730598726594, 2693.786662936246, 11044.51726166284,  0.002202461248979851
                                           0.3627278236493099,                                       0.00014038360917739085,                                     0.15271018269669823,8334.501718360534, 7126.095615831588,15460.597334192122,1.9714923015637725e-10
                                         0.003792452110985938,                                          0.04686637102363121,                                     0.39351252733920894, 8350.73059657033, 285.0189032439426, 8635.749499814274, 0.0022024564998997537
                                         0.004257964534445843,                                         0.008023257038234931,                                      0.3555083135787167,8350.730598714652,   359.49166148957, 8710.222260204222, 0.0022024612226787957
                                        0.0005469140570285154,                                          0.09712896874846605,                                     0.08020664470335648,8350.730598674765,1838.7364335423513,10189.467032217117,  0.002202461134829668
                                        0.0019880074113802384,                                          0.08056103725565017,                                      0.3960680595066888,8350.730576259157, 515.4291817965411, 8866.159758055697,  0.002202411765876832
                                         0.007760939964637019,                                       2.6419495635583698e-05,                                      0.5226050388043324,8350.730598532053, 37979.68650408634, 46330.41710261839,  0.002202460820511062
                                        6.714684057125907e-06,                                         0.027919069840796538,                                      0.5993152577903509,8350.730598246095,148963.15251511458,157313.88311336067, 0.0022024601907001534
                                         0.016049774413427982,                                       1.0205877730184893e-06,                                      0.7612975533567924,8350.730595049892,  979889.839321915, 988240.5699169649,  0.002202453151202262
                                          0.09717656357956857,                                           0.0843721519142141,                                      0.7965376028230435,8350.484898387202, 22.14279897905812, 8372.627697366259,   0.00172266953897882
                                         9.65593674859528e-06,                                          0.08908812969945536,                                      0.9024284991327433, 8350.72859208168,103574.45500980045,111925.18360188213,  0.002198046122592783
                                          0.06398866699210198,                                        0.0018612390996071604,                                      0.5190387322431969,8350.720526188667, 552.9042517028745,  8903.62477789154,  0.002180388226812893
                                         0.009340396053925962,                                       1.9949983074390966e-06,                                      0.9260760133397311,8350.730598352537,501360.61993762787, 509711.3505359804, 0.0022024604251339995
                                          0.18769414746104507,                                           0.0189745694605308,                                     0.40738429407203713,8349.652124446895, 58.02993469703876, 8407.682059143934, 0.0007490880129200392
                                          0.13335023575721452,                                         1.62433872040666e-05,                                      0.6976333053120513,8350.470309044782, 61571.01332362616, 69921.48363267095, 0.0016977193690349518
                                         0.021316546885953625,                                        9.035956641464618e-06,                                      0.8010528236868062,8350.730587080781,110715.88031133557,119066.61089841634, 0.0022024355996789783
                                          0.11157082745953427,                                       3.7921942998248945e-06,                                      0.5659159400637359,8350.554258721206, 263708.5312761232, 272059.0855348444, 0.0018463957197675995
                                         0.012252686788924643,                                        0.0005916082835268523,                                     0.20538258430909784,8350.730597196472,1771.9223899305987, 10122.65298712707, 0.0022024578789498826
                                          0.01358831799202555,                                        0.0004866857094609697,                                      0.3276869221373685,8350.730596519325, 2128.306747287547,10479.037343806871, 0.0022024563875606396
                                         3.54547191469729e-05,                                           0.3011783847766277,                                      0.8186747900043291,8350.294712772267,28208.310319794586,36558.605032566855, 0.0014243129117396142
                                           0.2130738729702928,                                         0.037128560960288395,                                       0.507229070884294,8349.131434962965,31.626651506222004, 8380.758086469186, 0.0004450412613131761
