1.200303748731452772e-06,5.915008494802693539e-07,7.438858745832091711e-07,1.967034176834781529e-07,2.220746736046706027e-07,6.127295626996349017e-08,5.448508983322598604e-04,-3.882164776631154626e-07,-6.938364178309764820e-07,-1.333401274522490769e-06
5.915008494802694598e-07,9.721668613667067659e-07,4.389443639623877533e-07,5.977874214527827555e-07,2.664878071112714808e-08,-1.392953113700495777e-07,9.438219108108240754e-04,-7.601505375478268998e-07,-1.089863205719054526e-07,-9.819553071705128766e-07
7.438858745832091711e-07,4.389443639623877533e-07,5.006211854962025970e-07,1.548920992311806990e-07,1.063458166781477454e-07,-2.322765917296213773e-08,3.712663990374317656e-04,-2.272024074376109092e-07,-4.447109046107130976e-07,-9.081985698975966221e-07
1.967034176834780999e-07,5.977874214527825437e-07,1.548920992311806725e-07,4.255359919171432408e-07,-9.276165068364769799e-09,-1.145712633959238610e-07,7.585269859071338541e-04,-6.547141557688038978e-07,9.097888241946239431e-08,-4.286437362385673642e-07
2.220746736046706027e-07,2.664878071112713815e-08,1.063458166781477321e-07,-9.276165068364769799e-09,1.786744505012277432e-07,1.039824456062359301e-07,-2.440949292976640056e-04,2.512423823052669453e-07,-5.802803584614588186e-08,-1.012213289851697560e-07
6.127295626996350341e-08,-1.392953113700496041e-07,-2.322765917296213773e-08,-1.145712633959238742e-07,1.039824456062359301e-07,3.157784185911138715e-06,-1.529980769150671551e-03,1.200398206598240557e-06,-3.307829923033918117e-08,1.245510072899269771e-07
5.448508983322597520e-04,9.438219108108241839e-04,3.712663990374317656e-04,7.585269859071338541e-04,-2.440949292976639514e-04,-1.529980769150671551e-03,1.592864332530028193e+01,-1.467569034236023556e-02,-1.733247451294613972e-04,-9.731261869018383460e-04
-3.882164776631154097e-07,-7.601505375478270056e-07,-2.272024074376109092e-07,-6.547141557688038978e-07,2.512423823052669453e-07,1.200398206598240557e-06,-1.467569034236023556e-02,1.472872679570482544e-05,8.111761276084782884e-08,7.224106832707771211e-07
-6.938364178309764820e-07,-1.089863205719054526e-07,-4.447109046107130976e-07,9.097888241946239431e-08,-5.802803584614587524e-08,-3.307829923033919440e-08,-1.733247451294615599e-04,8.111761276084782884e-08,5.929541938183398540e-07,7.587955455875244766e-07
-1.333401274522490769e-06,-9.819553071705130883e-07,-9.081985698975966221e-07,-4.286437362385673113e-07,-1.012213289851697560e-07,1.245510072899269771e-07,-9.731261869018384544e-04,7.224106832707772270e-07,7.587955455875245825e-07,1.769370025368233550e-06
