y,x,reconstruction,noise_map
-0.6804529508667191,-1.0681167889641687,6.923057671358218e-35,0.01319011357135899
-0.6932087968398989,-0.9871693175829092,2.2260716052792247e-35,0.010790536703748901
-0.7080410807566307,-0.9728601281332837,3.570133241314212e-35,0.010943083023713409
-0.7853553119376941,-0.9950229447256309,1.0598083559360562e-34,0.013102750568798295
-0.9175407700429024,-0.8326799762576447,8.307636032517742e-35,0.011952822699777287
-0.8587410661644375,-0.8642181182030623,0.00313303555619248,0.011687596307348282
-0.7863425148869788,-0.8132198256175897,0.0026643528206340954,0.01007348805600936
-0.8258089437614287,-0.8928609896613426,0.003835896910297177,0.01129921296655359
-0.7875335017958446,-0.9318550205319378,0.0006282164525864576,0.011162945414361407
-0.7261970601877409,-0.8900756437132223,0.0003055851159537616,0.010579967053720567
-0.696170123534605,-0.9285820041274632,2.487918069649049e-35,0.01029944884036359
-0.709203870943599,-0.8758813981711875,0.0002443054583121482,0.010080731828922107
-0.6416389607835801,-0.7941266069083381,2.1140036959752816e-35,0.009939856281927409
-0.7333143106481878,-0.7945582066712982,0.0006154796022478117,0.010248526603459618
-0.7646116447558624,-0.8300691524331688,0.003202093626035099,0.011112098985838623
-0.7543381041639144,-0.7133837297404606,3.9861066977717533e-35,0.010298924060111672
-0.7012251573651049,-0.7668240566522759,1.4467551968605616e-35,0.009823681812779142
-0.6164892997442661,-0.6905332912304541,2.1917301747055624e-35,0.009826766645514904
-0.6324833395588347,-0.6555967548336662,3.835216390005143e-35,0.010354610305516173
-0.6502892515086334,-0.639734969479228,1.6580909051177373e-34,0.010428902723163325
-0.7097449352090711,-0.6783647220213412,1.8668877248842966e-35,0.009822719421276185
-0.7644539572912895,-0.6524315143358732,2.194998823740658e-35,0.010069816400691435
-0.7991230769158705,-0.7097186033733548,3.210788798819244e-35,0.010338451092028644
-0.7743160999392666,-0.7506474472594348,1.3945266317702713e-34,0.01006129801416545
-0.8222696622753246,-0.7370747564800842,7.504488161058284e-06,0.010031411452127182
-0.8973186339218824,-0.7927218414150357,6.573070592440024e-34,0.010477167183861373
-0.8910814292891513,-0.7018838222659444,1.5081857447590557e-35,0.009666638221688196
-0.8623038279942514,-0.6763583167755356,1.8483988324265925e-35,0.009757742776654137
-0.9339800605854709,-0.7348402437029538,3.626106851339683e-35,0.010976147996640229
-0.9948133044417575,-0.6815380150798691,4.5236711073017725e-35,0.010639741233983724
-0.9581100104197704,-0.7644080831955502,3.596882847126063e-35,0.010592748852596222
-1.0713941706625956,-0.5421570691840368,0.0009315773372984352,0.011004547078562254
-1.0617413133266158,-0.6488397446396692,1.425641064903291e-05,0.012075099357042257
-1.008485253373505,-0.6636902481436335,7.624470664337532e-05,0.011017609934687318
-0.9153975731314093,-0.6186993582987746,0.000520405697207138,0.009627781332386898
-0.9499676551206956,-0.5626259188673229,0.003925240628696846,0.010185738809416377
-0.9171793622157484,-0.5354771096087514,0.004161035918586587,0.00993860841567413
-0.988092406167885,-0.5929695731238654,0.002822871747609072,0.010257822068297952
-1.0438039845148914,-0.531457870375567,0.0014904192447759397,0.010248829927304215
-0.9637832665917498,-0.4549192644668391,0.002499399626713151,0.009989981092080791
-0.9103037322914374,-0.495718186742227,0.003870202022325773,0.009845962971448496
-0.9378464044959189,-0.47570729021579333,0.0035659291477486066,0.009868643078627226
-0.876071558003217,-0.40766556030485956,0.001038793155512519,0.009769130215045283
-0.9655573545517258,-0.38772027685978644,2.2926328540597915e-35,0.010146169415912842
-1.027879800904599,-0.41638286463320906,3.0619234894919944e-35,0.010169169616200811
-1.0838602699762885,-0.3947237482847802,2.3535682692144688e-35,0.010501286436925324
-1.0607062905370865,-0.4439755831082496,5.748870821976711e-35,0.010248369452530933
-1.1054967362341115,-0.5212883922280092,0.0002989852969322453,0.011094241751430194
-1.1441576990403055,-0.33776033326977156,4.0208166634845605e-35,0.012423840711367621
-1.0683764434960852,-0.3562580427622291,5.133311281002161e-35,0.010665969823673873
-1.0783827432444664,-0.34480017886625525,6.456087878804896e-35,0.01061424144118811
-1.0434157633983894,-0.29054451830224504,5.758922321366589e-35,0.010374296816246915
-1.1217773572327625,-0.26120672850914556,2.0719034249717838e-35,0.010637532677196112
-1.1694238143963738,-0.2516698453224933,4.8410800147934345e-34,0.011996885763429409
-1.1370197591961007,-0.1743908476721689,6.170305747743975e-35,0.010910743479143014
-1.137190450015474,-0.11101641134875093,3.798310660197882e-35,0.010951196586676738
-1.0626083578599792,-0.14372010658990764,1.149556074345503e-34,0.010869415995081745
-1.0365557694373613,-0.11992580744012113,4.6923158847672706e-35,0.010184588824570686
-1.0951424699945123,-0.1794826124403475,3.303762193997848e-35,0.010683078551454662
-1.0112698387101604,-0.22919428673992942,1.6821634451932072e-35,0.009663119723679704
-0.9270716080197028,-0.16375183357875245,1.0669948053240802e-34,0.010150951688713827
-0.9851493910836284,-0.11986168053746143,0.0004478089851772131,0.010271114605826146
-0.956196740765116,-0.14531282398219386,0.00026479604082920577,0.010716695451140863
-0.8771106951961687,-0.09423789574828742,7.212425090088244e-35,0.0100699359520451
-0.8401839207306272,-0.16995304142639572,3.176805881393912e-35,0.010144804577179964
-0.8718566749618115,-0.219139818641097,4.339878576965195e-35,0.010558134149915905
-0.8466933110000969,-0.265732584380313,1.9019587607942046e-35,0.010041575271272531
-0.9096113178496117,-0.24578393309337038,1.8021350142935783e-35,0.009936026317792578
-0.9978014702803514,-0.28379058675719554,9.355320482296168e-35,0.010046805441639644
-0.970159883293787,-0.3349264773342893,8.566680662628429e-35,0.010686516728953753
-0.9901161559111584,-0.3493494183264007,8.222410881309617e-35,0.010237889969830596
-0.9110510722523282,-0.3072258683155784,1.1606732683813412e-35,0.009865807416315778
-0.8440250056591079,-0.352328244631918,3.091676857319485e-35,0.01006026707579439
-0.7626860411309461,-0.29557180041906894,1.8789146862576104e-35,0.009955432327091358
-0.7219340932257532,-0.3286542109921545,3.853841465675108e-35,0.009878345005425213
-0.7500892625618605,-0.3101530515906907,1.5030051651214709e-34,0.010495140016065914
-0.6669051369474713,-0.24240145855145895,3.6550238867548486e-35,0.010021032087260883
-0.7724877108792321,-0.22226701092615386,2.2775180929687146e-35,0.010468574772853225
-0.8215357042408963,-0.2497799920353963,2.7801767974218274e-35,0.010318992201011217
-0.7692137240562713,-0.21061127089558696,2.371627001279169e-35,0.010507336444465274
-0.8053238865191106,-0.15648129450786763,9.116224911946244e-35,0.010125165678358274
-0.7551936721875498,-0.09374860110566995,0.00012884305035549236,0.010727547417779398
-0.695586571725261,-0.11107738455605784,1.906311817945631e-34,0.010836284252323268
-0.6802782961946543,-0.10932806742849309,4.1031240480792315e-35,0.01064099099955225
-0.7188734523466784,-0.1613677263706315,2.4494728194203365e-35,0.010333025013105016
-0.6309714252123106,-0.19695923549013122,4.519446761518323e-35,0.01019411502908331
-0.5801321304988801,-0.13918661786313835,0.0018105584344435053,0.01104152619921317
-0.625233483968284,-0.11076685338557726,6.946736461589276e-35,0.010666017596104423
-0.5831208237978147,-0.1289834522445562,0.0013726117515223215,0.01077769702237787
-0.4987800440627532,-0.07173676344584465,0.0016684463707331227,0.010733819387467914
-0.4755480025762206,-0.14788231751192585,0.004772583744826842,0.011406758459683449
-0.5115684004856447,-0.17235416494360806,0.004300274641983384,0.010990035056223946
