galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.outer_coefficient,galaxies.source.pixelization.regularization.signal_scale,galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,     log_likelihood,         log_prior,      log_posterior,                weight
                      0.1939386957812584,                    -0.13538807484930068,                0.2736662928413444,       -0.07912174628566698,       -0.03805111316022206,                                        5.653390903256031e-05,                                             66.6033620800324,                                    0.030816396883813987,             -0.008568324915292663,               0.02534325546305399,-1960.1198756010294,17691.466281490386, 15731.346405889357,1.4521179326330078e-08
                     0.18621850384868566,                    -0.12519683180348953,               0.29367811938599125,       -0.07270397405657975,       -0.04311340341828684,                                        3.896456202306982e-05,                                           111.38208065127141,                                     0.02108990640152563,              -0.01092006606204823,              0.042077554527388095,-1964.7477757850024,25667.773214946956, 23703.025439161953, 1.591769646168879e-10
                     0.19419625526242026,                     -0.1481198835217552,                0.2843088480329462,       -0.09719719654198437,       -0.04064917433595965,                                        3.932385529809889e-05,                                            91.77833263597165,                                    0.023119927577467857,               -0.0112732855355464,              0.030893259619196735,-1960.6786200525644,25431.796287541474,  23471.11766748891, 9.313053533511665e-09
                     0.24516914652746497,                    -0.13490222956762918,                0.2921383453441794,       -0.08269257886294228,      -0.015411419416839033,                                         5.40951849695834e-06,                                            99.61240193917212,                                    0.023147059803956586,             -0.003082142709557057,               0.03223699851422665, -1962.695904787343,184862.34206353038, 182899.64615874304, 1.238786519307993e-09
                     0.22942280745005927,                    -0.13544514032580438,                 0.295548142540141,       -0.09241199775382328,      -0.022019139724275764,                                          4.7476180703987e-05,                                            90.64004276830724,                                     0.02524139366550825,             -0.008503997855325213,                0.0363117773425469,-1959.1394475150705, 21065.73213327132,  19106.59268575625, 4.340564749585592e-08
                     0.19215158203569807,                     -0.1414764222573121,               0.29316041618778244,       -0.09181598892667509,       -0.03879623485173754,                                        0.0002809473605438996,                                           107.35691498086098,                                    0.021570424880232877,             -0.011845233414745967,               0.03960268670161384, -1964.213155447083, 3561.839870359541, 1597.6267149124578,2.7168326102720284e-10
                     0.21492955372542447,                    -0.10258729403651842,               0.28734352209398006,       -0.06318115027995459,      -0.027537550561461118,                                        0.0001538446207569085,                                            93.25856559317353,                                    0.024674688438538515,             -0.005499016113045604,               0.03682252137767875,-1960.2501943811098, 6504.078427234515,  4543.828232853406,1.4294040372546999e-08
                     0.23983752839188927,                    -0.10476522482108547,               0.29140182197664743,       -0.06193720369575097,      -0.019895532994608684,                                       0.00014561817502856366,                                             90.4158534960978,                                    0.026830804084974354,            -0.0037718309961436536,               0.03545822417271198,-1961.7738686410044, 6871.311281300354,  4909.537412659349,3.1148108663685227e-09
                     0.20889821838912456,                    -0.10883073702013558,                0.2873950632384948,       -0.06493204801581051,       -0.02740150493834061,                                       1.5031523470279424e-05,                                            93.52004794619734,                                     0.02527667553229607,             -0.005588406413145931,               0.03779017580599961,-1951.2553590820585,  66530.8288847061, 64579.573525624044,0.00011522914525897498
                       0.190268235031867,                    -0.14375791588949255,                0.2977160926434716,       -0.09146195188358097,       -0.04075410454648948,                                       2.3195643013971046e-05,                                             96.0344848159943,                                     0.02770748817563106,             -0.013005231690892918,              0.042554907609370904,-1959.4674808799323, 43114.02656993461,  41154.55908905468,3.1266780073180074e-08
                     0.22634474597730775,                    -0.11603095845222504,               0.29448175203352434,        -0.0664235090982227,       -0.04283779058880256,                                       1.8623719048774462e-05,                                           103.60532089979357,                                    0.023783131083487202,             -0.012190329940640522,               0.03382641544590136,-1955.2617086234745, 53698.41542363283,  51743.15371500936, 2.097137190158888e-06
                      0.2543663702385165,                    -0.11854599961592877,               0.29562630228743864,      -0.058856559161004934,        -0.0356209723391318,                                        0.0017562852058409446,                                           109.54246438197613,                                    0.020295359358515584,             -0.008139594415441133,              0.028679753009105788,-1950.3049179044124, 573.0839306482078,-1377.2209872562046,0.00029808059141991347
                       0.215239540623427,                    -0.10824366823765601,               0.28852670244499284,       -0.06690529662674236,       -0.02835453353594658,                                       0.00010991699304138032,                                           124.79341606161512,                                    0.017713593411077574,             -0.006591128900402567,               0.03672306665117856,-1955.7754516148166, 9101.607713655285,  7145.832262040469,1.2546167915088259e-06
                      0.2170137350687658,                     -0.1117801288728585,               0.28954038582983826,       -0.07005651224294142,      -0.026704373268972056,                                       2.4121365246029468e-05,                                             86.4870543236246,                                    0.028163049345069417,             -0.007401357365726305,                0.0370301737600559,-1942.1871881037837, 41460.74522613563,  39518.55803803185,    0.9995832204903885
