galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.outer_coefficient,galaxies.source.pixelization.regularization.signal_scale,galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,     log_likelihood,         log_prior,      log_posterior,                weight
                      0.3711829763143358,                    -0.03687026405045141,                0.2935675401492726,       -0.06056365349543324,      -0.001761475342612101,                                          0.07582029909564167,                                           38.202204504015825,                                     0.04621089080946511,             0.0031309698239193936,              0.007874100363380512,-2020.3074641505814, 16.47854581234937, -2003.828918338232, 5.759399129782634e-09
                       0.378306515086452,                  -0.0060845580337046245,                  0.32991482940267,       -0.03572024460673004,     -0.0010764890490249771,                                       3.3080441117541544e-05,                                             98.4403522852628,                                    0.021299591462600548,             -0.004474994642730938,               0.03087160282687384,-2013.3030330204015,30233.505112227438, 28220.202079207036,   7.8714671210882e-07
                      0.4327723543701576,                    0.004379995187883119,                0.3058950057875322,       -0.06387747884710004,        0.01559430200669146,                                         0.009631548026673318,                                            52.72570591034488,                                    0.047181767636548286,            -0.0011098753560533348,             0.0010519622267277534,-2017.4061916439673,106.41413835880253,-1910.9920532851647,4.5794306852772985e-09
                      0.4148413856740367,                   -0.021115290685438253,                0.3043752048863884,       -0.05984340918464037,        0.02892243535118471,                                       1.7503361467043886e-06,                                            61.39075385797659,                                     0.03229930811242804,              0.009463311010726644,              0.009403118844011155,-2019.8195379979293, 571321.5678864424,  569301.7483484445, 2.396298106781386e-10
                      0.3562768144273882,                   -0.025477009353974164,                0.3025868970813931,       -0.04592328980560217,      -0.021230223843133857,                                          7.0342723743021e-05,                                            35.68127082842581,                                     0.07295364666483166,             0.0021582412386630854,              0.016303555153259378,  -2019.55200982203, 14219.90391295751,  12200.35190313548, 3.131315697712403e-10
                      0.3378114961523761,                    -0.05490556646890124,                0.2752250024690301,       -0.07704705183009035,      -0.011622431651816626,                                         0.008463604527354562,                                            91.00721178870268,                                    0.023393754650862672,              0.005553495470877708,             0.0010888356983966313,-2017.1863074425296,120.88653922001787,-1896.2997682225118, 3.335326426014258e-09
                     0.43115243753493876,                   -0.030218918946818156,               0.30053531867364197,       -0.07845489213041378,      -0.003625771651755491,                                        0.0002855732502565777,                                           43.543731391089196,                                       0.054310393816749,            -8.236856245981372e-05,             -0.003736057262753955,-2001.8570847635615,3503.7520225854946, 1501.8949378219331,  0.015154275061799557
                      0.3597118909731638,                   -0.009973891974594778,               0.29456960625957157,       -0.06595314622812098,         0.0183946276769496,                                        5.396377297674519e-06,                                             96.5566283582715,                                     0.02160624938890589,             0.0032489104822901803,              0.016938945524255625, -2010.445735299992,185312.60010213265, 183302.15436683266, 9.132073735346029e-07
                      0.3968747130230188,                    -0.05145926250399355,                0.2913884696768311,       -0.08415801399199736,       0.012967933419301199,                                       1.9584277680346244e-05,                                            60.77241626335508,                                      0.0382635878625599,             0.0007953492303304435,            0.00022704695271490144,-2016.4423506209973, 51063.30675877395,  49046.86440815295, 2.271289354929229e-09
                      0.3752355996533964,                    -0.04308603013241437,               0.29319327092668235,       -0.08938667050252164,       0.002423000896396371,                                        4.575770840310279e-05,                                            63.59592921672366,                                     0.03638625733616938,            -0.0011883131443134738,              0.004383187747162238,-1999.2231588737263,21856.123779347126,   19856.9006204734,    0.0683081343818677
                      0.4288136608041456,                    -0.03701957078719305,               0.30072384194437685,       -0.08858405289343621,       0.032394793634768326,                                       3.6808002114695904e-06,                                           34.904425896496605,                                     0.05891903160730882,              0.009677230982543075,              0.003702650670363486,-2003.9415257487067,271681.26456238347, 269677.32303663477, 0.0006099745660622034
                      0.4012443337190027,                    -0.07002966967524873,               0.29456737748770406,       -0.08199748343024763,      -0.004922574809485532,                                         0.005844277807873209,                                            69.76965557595726,                                    0.026906539127547164,              0.006183766817866275,              -0.00245200394694332,-2010.3244511774924,173.15381890938392,-1837.1706322681084, 5.997501447782961e-07
                      0.3920874977600728,                  -0.0032543284167675275,               0.29048487620295516,       -0.07172593032290171,       0.010095157575267336,                                        0.0059724852527777116,                                            57.42377732403192,                                     0.04211777900377079,           -0.00023968842512673216,              0.004170419767027596, -1996.085632871002, 170.0677204786574,-1826.0179123923444,    0.9158209642030061
                      0.3507230711946494,                     0.06344074175022948,               0.29431667848520104,      -0.019205458478427587,       -0.02308097952246733,                                        0.0025763699467990973,                                           47.647636004953675,                                     0.04531118223425917,            -0.0018176343240684477,              0.011903093144057103, -2005.075510034047, 392.4269441375903,-1612.6485658964568,0.00010433502383719801
