1.086126726476868106e-05,5.897740335760388862e-06,2.532264446372525381e-05,-1.006507233471430818e-05,-1.549141470624117009e-07,1.059145863491584233e-06,7.126170803394643158e-07,-3.497278714620427950e-06,5.403824577815743912e-07,8.656990362695270749e-07,7.891977577437720657e-06,-1.568157411771531884e-06
5.897740335760388015e-06,6.389680445480289809e-06,2.027654517224249762e-05,-1.747065683009709218e-07,1.283338162407464781e-06,-5.424424708831732940e-07,-6.011580386372262688e-07,2.796731272746190907e-06,2.425534224660195119e-07,5.220256115494135056e-07,4.073531097004363580e-06,8.790622242301308423e-06
2.532264446372525720e-05,2.027654517224249762e-05,1.026268784300458014e-04,-1.409921934242371522e-05,-2.107613837197540742e-07,-2.615928194699174677e-06,-1.272498775727760116e-06,2.317781114797566181e-06,1.656646892599284496e-07,1.541991676942096829e-06,1.644022934264752247e-05,2.738011155452284718e-05
-1.006507233471430818e-05,-1.747065683009708424e-07,-1.409921934242371352e-05,3.359986483709269525e-05,2.788755057531332129e-06,-2.773169461957039287e-06,-4.324915136970639343e-06,9.827822002358605093e-06,-1.076592245156032785e-07,-8.557463181545086636e-07,-8.699488622577341798e-06,1.602655062514469434e-05
-1.549141470624117274e-07,1.283338162407464781e-06,-2.107613837197542330e-07,2.788755057531332129e-06,2.406973784659690198e-06,4.939045193698527311e-07,-2.255791091125186432e-06,2.683368843928175909e-06,1.726374080289145916e-07,3.180055995848906994e-07,-1.951813086716188727e-06,-3.973336955139868004e-09
1.059145863491584233e-06,-5.424424708831733999e-07,-2.615928194699175100e-06,-2.773169461957039287e-06,4.939045193698527311e-07,1.554290965635714569e-06,-5.697876799379352725e-07,-2.157759547583130321e-06,3.766005608300585035e-07,1.938097080459739433e-07,1.757855749415930583e-07,-8.952031218647369033e-06
7.126170803394642099e-07,-6.011580386372263746e-07,-1.272498775727759693e-06,-4.324915136970638496e-06,-2.255791091125186009e-06,-5.697876799379352725e-07,1.061628420219395570e-05,-4.769473701109534096e-06,1.388470017484456736e-07,9.658897354521129878e-08,-3.018066603197450723e-07,4.583135040878236216e-06
-3.497278714620427950e-06,2.796731272746190907e-06,2.317781114797567028e-06,9.827822002358605093e-06,2.683368843928176333e-06,-2.157759547583129474e-06,-4.769473701109534096e-06,2.727957026520534166e-05,-7.712332889973324526e-07,-1.641229536465444390e-07,1.619001425008107230e-06,8.039231619454160081e-06
5.403824577815743912e-07,2.425534224660195119e-07,1.656646892599285819e-07,-1.076592245156033049e-07,1.726374080289145916e-07,3.766005608300585035e-07,1.388470017484456736e-07,-7.712332889973324526e-07,3.148747968049272505e-07,1.253242509109929326e-07,5.959243120684987901e-07,-2.491245549576391863e-06
8.656990362695272867e-07,5.220256115494135056e-07,1.541991676942097040e-06,-8.557463181545084519e-07,3.180055995848906994e-07,1.938097080459739698e-07,9.658897354521128554e-08,-1.641229536465443861e-07,1.253242509109929326e-07,2.610220890148788731e-07,2.711750306451202451e-07,1.636887917969228623e-07
7.891977577437720657e-06,4.073531097004363580e-06,1.644022934264752247e-05,-8.699488622577341798e-06,-1.951813086716188727e-06,1.757855749415930848e-07,-3.018066603197448606e-07,1.619001425008107230e-06,5.959243120684986842e-07,2.711750306451202981e-07,2.445842973852712765e-05,-1.283644914179230265e-05
-1.568157411771532731e-06,8.790622242301308423e-06,2.738011155452285057e-05,1.602655062514469773e-05,-3.973336955140019378e-09,-8.952031218647369033e-06,4.583135040878235369e-06,8.039231619454161775e-06,-2.491245549576391439e-06,1.636887917969228358e-07,-1.283644914179230434e-05,1.212681313874454435e-04
