galaxies.lens.bulge.profile_list.29.centre.centre_0,galaxies.lens.bulge.profile_list.29.centre.centre_1,galaxies.lens.bulge.profile_list.29.ell_comps.ell_comps_0,galaxies.lens.bulge.profile_list.29.ell_comps.ell_comps_1,galaxies.lens.disk.profile_list.29.centre.centre_0,galaxies.lens.disk.profile_list.29.centre.centre_1,galaxies.lens.disk.profile_list.29.ell_comps.ell_comps_0,galaxies.lens.disk.profile_list.29.ell_comps.ell_comps_1,galaxies.lens.point.profile_list.9.centre.centre_0,galaxies.lens.point.profile_list.9.centre.centre_1,galaxies.lens.point.profile_list.9.ell_comps.ell_comps_0,galaxies.lens.point.profile_list.9.ell_comps.ell_comps_1,       log_likelihood,          log_prior,         log_posterior,                weight
                              -0.013398717152123221,                              -0.010547065055992733,                                      0.07984085162751646,                                     -0.18568367308579917,                               0.03122315697022124,                               0.03557507644776983,                                    -0.18240240768401575,                                    -0.17616558634040494,                               0.03861686176632814,                             -0.043693812333173154,                                    -0.05278316571803201,                                      0.6186607706994938,   -23.31406685787806,-1.0106720609214106,   -24.324738918799472, 2.251310530962627e-10
                              -0.007107934303567376,                              -0.013733636516457676,                                       0.0973725188185012,                                     -0.19167212186615554,                              0.025130890610596618,                               0.03747879156331482,                                    -0.14450301750610098,                                    -0.17075565538589033,                               0.03884067219646353,                              -0.03360067933246656,                                   -0.033973924370562944,                                      0.7403646057296552,  -15.684536839127759, -1.871044564400285,   -17.555581403528045, 5.723615531501931e-08
                              -0.015483741992859915,                               -0.01779707675625644,                                      0.11600820520499694,                                     -0.19748515173934522,                               0.02986980391708499,                                0.0352028582821754,                                    -0.19287093465716984,                                    -0.14797478304782033,                               0.04259695496733565,                             -0.032775273086725495,                                      0.0752928507216437,                                      0.6120383521348834,  -21.584092974298983,-1.0169433307837306,   -22.601036305082715,1.5686490048598595e-10
                              -0.011375194516333537,                               -0.01958539466439553,                                      0.08379642508317482,                                      -0.2030633459259109,                              0.025651844159012338,                               0.03971381774488633,                                    -0.16793842864849182,                                    -0.16546622542717856,                               0.03853299745859165,                             -0.021546606360580783,                                    -0.09281021079170204,                                      0.6338085476686711,  -11.595465947093544,-1.1411210011987698,   -12.736586948292313,3.2274666759426057e-06
                              -0.015605545961574735,                               -0.01805473866075448,                                      0.10367279808327354,                                     -0.18306147179577797,                              0.027297114520723864,                               0.03604587409672144,                                    -0.15119828793935233,                                     -0.2166976713075138,                               0.06298088184715694,                             -0.029366080486533247,                                     0.09033394663462387,                                      0.6451410029839145,  -11.560663313164696,-1.2760072732852221,   -12.836670586449918,3.3417684822932726e-06
                              -0.008375417774466126,                              -0.012235398664014546,                                      0.08684055087516579,                                     -0.19968176686232564,                               0.03082430848877829,                               0.03817692142468662,                                    -0.18995068580542623,                                    -0.13242130639407473,                               0.05835454808570584,                              -0.03554780542416673,                                     0.20455976996744024,                                      0.6070740344768382,  -18.762757200012857,-1.1258342030281359,    -19.88859140304099, 2.489698315520984e-09
                               -0.01688256553245962,                               -0.01933106579694817,                                      0.10546395231838183,                                     -0.19014201377604978,                              0.029538846616819325,                              0.035572545925451365,                                      -0.149727441087724,                                    -0.18124963064522584,                               0.06376455567665307,                              -0.03514384797817026,                                      0.1899283854438494,                                       0.688945942596601,  -13.359998834743237,-1.6916749349115556,   -15.051673769654792, 5.527577884367425e-07
                                -0.0029444332797324,                              -0.012892621974242194,                                      0.08084242047576758,                                      -0.1884975554681135,                              0.025480735037904267,                              0.037747391673454034,                                    -0.15217718907651262,                                    -0.18133671507276497,                               0.06093835004327844,                             -0.029685516580305493,                                    0.004494150388608941,                                      0.7195581355631301,  -14.911246920421036,-1.7062647406587104,   -16.617511661079746,1.1717538439252489e-07
                              -0.013757505358645991,                              -0.018587906464607257,                                      0.07949600440383657,                                      -0.2290446968883417,                              0.027964923806612724,                               0.03834986535405996,                                    -0.16540953605491013,                                    -0.14726747483283528,                               0.04834096837680807,                              -0.03201582956740523,                                     0.11082877039389821,                                       0.688709581297482,  -13.756307562902293,-1.5870490798315746,   -15.343356642733868,1.2388295172044134e-07
                              -0.009888084445753148,                              -0.018133714706484866,                                      0.08987031836481886,                                     -0.19875666126672684,                               0.02306291271159107,                               0.04330447288953537,                                    -0.12597181183891634,                                    -0.21311672591070036,                              0.057525328079676225,                             -0.024542990280441532,                                    -0.10001616077215063,                                      0.6276784914545265,  -11.488216186206046,-1.1338214489628697,   -12.622037635168915,1.1968262719068816e-06
                              -0.011675361936373307,                              -0.015056541198871981,                                      0.09300095377372433,                                     -0.20263094200297624,                              0.024936246950073307,                               0.03768116683389708,                                    -0.19162762570524236,                                    -0.16287366261938638,                               0.07936652746145265,                             -0.023515983040912153,                                  -0.0008411804414069296,                                      0.6758871913878162,  -11.529107257842043,-1.4500970835349059,    -12.97920434137695,1.1488738573971122e-06
                              -0.010028370863361322,                              -0.017966904852468768,                                      0.09047055871553634,                                     -0.21645640656961518,                                0.0262232622903541,                              0.038731337663930776,                                    -0.15063616767643567,                                    -0.16891123295789393,                              0.056912890870059046,                             -0.015972739816311476,                                     0.12966044575077243,                                      0.6655494735207356,   -13.14837871117561, -1.429246163712599,   -14.577624874888208,2.2752634498164144e-07
                              -0.008972616460853206,                               -0.01858290161263164,                                      0.09613815328637441,                                     -0.22148639466809203,                              0.026632472454156148,                               0.04064286258746158,                                    -0.19156393361180557,                                    -0.16910587954108494,                               0.05277635844809131,                             -0.027215189178497703,                                      0.2260038112907119,                                      0.6439485999893538,   -5.110928034418976,-1.5587535991337356,    -6.669681633552711, 0.0007041288968942591
                              -0.012293174627508313,                              -0.014459694388967756,                                      0.09725571407953627,                                     -0.19804324633556394,                              0.029260842613392735,                               0.03521743807516564,                                    -0.18318235398869834,                                    -0.14272519286399493,                                0.0641654554181933,                              -0.04363223923614856,                                      0.1839743642799855,                                      0.6316575212603941,   -5.493556108514895,-1.2593314817195798,    -6.752887590234474,0.00019972687650949116
                              -0.015870691767085693,                               -0.01997304956256775,                                      0.08971208022705879,                                     -0.21722786856536944,                              0.025984865059614892,                               0.04037022595711082,                                    -0.16381516205127394,                                     -0.1589838961942562,                               0.08524276078756252,                             -0.024108037722198883,                                         0.2106920252589,                                      0.7157713582223875,   -6.277472473753733,-1.9739059808202697,    -8.251378454574002, 9.119813529562472e-05
                              -0.009802552514551005,                              -0.016880168761722353,                                      0.08274218148586643,                                      -0.2118303513459316,                              0.026558049877611623,                               0.04478957643402265,                                    -0.18994907292165933,                                    -0.18975117877201797,                               0.07739820902490524,                             -0.029277134935507987,                                     0.29470693664109704,                                      0.6369703129878607,   -7.605373873811914, -1.709020575728341,    -9.314394449540254, 2.417050408940551e-05
                              -0.008227674513478209,                               -0.01579491868381347,                                      0.09800681786574807,                                     -0.21312473225357148,                              0.024437685611596233,                               0.04006504649512599,                                    -0.15047782590700698,                                    -0.17970750054924875,                               0.05576178511269894,                             -0.019986365383947935,                                      -0.092791666663605,                                      0.6169330298595748,   -9.683601201397323,-1.0578795856940455,   -10.741480787091369, 3.024983760104088e-06
                              -0.007210926002462217,                              -0.014150158683616201,                                      0.08803394124680769,                                     -0.19166865178505305,                               0.02381423546406955,                              0.039590778160071144,                                    -0.14280209943911626,                                    -0.19374602721529635,                               0.07701346123447528,                              -0.01809180547330419,                                    0.025876615869982637,                                      0.6656828291705565,  -12.540868397523809,-1.3191992047621914,   -13.860067602286001,1.7371114017531059e-07
                               -0.01198572350569091,                              -0.018860400244727987,                                      0.09873284065398494,                                     -0.20066815479680564,                               0.02572482819722094,                              0.037421511028126075,                                    -0.16257683519816102,                                     -0.1680270032696997,                              0.061922347628889096,                             -0.015037364078405169,                                     0.19280360232432614,                                      0.6395934222134814,  -2.0901356683716585,-1.3453832064073032,    -3.435518874778962, 8.596055748625061e-05
                              -0.009393939726083864,                              -0.017854923033866738,                                      0.11193619155238194,                                     -0.21114119432488831,                              0.023717115969643543,                               0.03685050969256723,                                     -0.1663570243383054,                                     -0.1718058507464899,                               0.04788616918720506,                               -0.0248305029086415,                                    0.006116456797740803,                                      0.6608633794097482,   -3.902550822134799,-1.3461992283753514,     -5.24875005051015,1.4033865927870845e-05
                               -0.01691659432246259,                              -0.018942399416180228,                                      0.09089892569321513,                                     -0.20422126077466293,                               0.02920902468030015,                               0.03743143577055433,                                    -0.16107028290904313,                                    -0.18594868438381587,                               0.07232834873012348,                              -0.04243399236467174,                                     0.14761390147726053,                                      0.6763738634521724,   -6.079904152360541,-1.5610931854273367,    -7.640997337787878,1.5906139490477392e-06
                               -0.00902557812160204,                              -0.012523313146543646,                                      0.08001390357643563,                                      -0.2027874499778089,                              0.027211040399530928,                               0.04148548588616649,                                     -0.1955813770083513,                                    -0.16077729838456847,                               0.09027345434325054,                             -0.020326998203658672,                                     0.09408318393048426,                                      0.7143204083953213,   2.6213085556973965, -1.788708331623558,    0.8326002240738386,  0.009559902251331643
                              -0.010373382148370733,                              -0.017322519405358477,                                      0.07792116936272343,                                      -0.2110080382031887,                               0.02620811694312955,                               0.04464302004125181,                                     -0.1800281615173753,                                     -0.1797441125408285,                               0.08828475709207814,                             -0.023076840007146576,                                    -0.06847244910034919,                                      0.7393400036902701,    -8.15564853964679,-1.9881229005415375,   -10.143771440188328,1.9956319735242214e-07
                              -0.014021166843935964,                               -0.02101892167687905,                                       0.1047975433835115,                                     -0.20128246556564286,                              0.024568651926933277,                               0.03999955280850037,                                    -0.16362569974745567,                                    -0.19461022661624114,                               0.07967869911785899,                              -0.01628610095377285,                                     0.09728231744912448,                                       0.698035269950648,   -4.792186576542008,-1.6894254019418793,    -6.481611978483887, 5.765187338313634e-06
                              -0.013021810745888415,                               -0.01882468095660228,                                      0.10145340060055857,                                     -0.23004109620049945,                              0.026299719207999284,                               0.04153304170289285,                                    -0.18228491455321305,                                    -0.18340951950681864,                               0.06029403911018605,                               -0.0207010475832016,                                  -0.0039099200879375694,                                      0.6319342863164686,  -11.410482099323417,-1.2259477169592072,   -12.636429816282625, 7.700593510680933e-09
                               -0.00951285520152606,                              -0.013484946780145515,                                      0.08506685474715354,                                     -0.22738736586030336,                              0.025233608544970837,                               0.04036166347490272,                                    -0.18502743597756013,                                     -0.1505656621273483,                               0.05574046075697425,                             -0.023176153058992982,                                      0.1729656295988531,                                      0.6315091246055334,   -6.719785856024828,-1.3100180949423998,    -8.029803950967228, 8.388179081259434e-07
                              -0.012959030368531355,                              -0.019473310541937433,                                      0.08533285830142784,                                     -0.22021062305288283,                              0.026267456718910814,                              0.040949730396731054,                                    -0.14791478150466178,                                    -0.20098041959565782,                               0.07068439936069859,                                -0.030329767597015,                                     0.10031058273206003,                                      0.6427141270843935,   -4.322844209540563,-1.2912544890159317,    -5.614098698556495,  9.21820207645284e-06
                              -0.015634612839754328,                               -0.01592735047663868,                                        0.086258620328706,                                       -0.195195098379384,                              0.029769746137982916,                              0.037639786661150004,                                     -0.1678065846118815,                                     -0.1803021545484996,                               0.03422047885318302,                              -0.03295271352724548,                                     0.05002465508719262,                                      0.7001013676961053,  0.22977854787131946,-1.6116100164119673,   -1.3818314685406479, 0.0008746316037453662
                              -0.013576983780584848,                              -0.018955821663492495,                                      0.10005948530821289,                                     -0.20495611449472426,                              0.028100616035004883,                               0.04105207261493282,                                      -0.163119849567385,                                    -0.18089113613235056,                               0.07280437660723557,                              -0.01846437651697816,                                     0.09970085524385253,                                      0.6304439475047631,  -12.781709086157207,-1.1665791578117854,   -13.948288243968992,1.9543749396775024e-09
                               -0.01208974470279539,                               -0.01574804573550284,                                      0.06795491940489927,                                     -0.21740602433289083,                              0.028608482407328828,                               0.04153956795733743,                                    -0.19038309300407644,                                     -0.1733906633406804,                               0.07681340868874867,                             -0.026862150751870248,                                     0.12412444712066659,                                      0.6263630952847205,    -5.60108499265516, -1.206481773511479,    -6.807566766166639, 2.567516868694572e-06
                              -0.013322817333227488,                              -0.020362220304824735,                                      0.09382292807558772,                                     -0.19744476378159137,                               0.02737530262075416,                              0.044693170837015184,                                    -0.17218201912085412,                                    -0.18976736061751848,                               0.07714795346890516,                             -0.019428185287158728,                                     0.07775822825501581,                                      0.6307627130286223,  -13.477428204669195,-1.1588290925090317,   -14.636257297178227,  9.74677433511287e-10
                              -0.013895702035135682,                              -0.015542106628055247,                                      0.09735915360791107,                                     -0.20308798868240663,                               0.02555862988885932,                               0.03812933726156517,                                     -0.1664841570822571,                                    -0.18145705375293628,                              0.048090801708552344,                             -0.029432020091943206,                                   -0.003235446383970933,                                      0.6235074102835835,  -11.534780423666234,-1.0631941702642433,   -12.597974593930477, 6.800520006861766e-09
                             -0.0073243115203105585,                              -0.013010229323030129,                                      0.08109587075425696,                                     -0.20513125882158253,                              0.026953385320121398,                               0.03929437322948118,                                    -0.16434189697517065,                                     -0.2017873294875852,                               0.07295210910109326,                             -0.032679959827024194,                                     0.08269419211906805,                                      0.6481869205949784,   -7.111674170797414,-1.3033455082455152,     -8.41501967904293, 5.668560172925152e-07
                              -0.011880084092220591,                              -0.015591004946249765,                                      0.07890694281306905,                                     -0.19850045736382826,                               0.02655485728120416,                               0.03895646337628067,                                    -0.14122194900001425,                                    -0.20619501746154062,                               0.03506265942927994,                              -0.03651151891847779,                                    0.059289610220626225,                                      0.6192950964891749,   -4.484344919601426, -1.035368081778063,     -5.51971300137949, 7.843454057806591e-06
                              -0.011732060421661389,                               -0.01685178086830212,                                      0.10223726476956392,                                     -0.21963779541576772,                              0.025079203298245395,                              0.039707502116601345,                                    -0.20000100760272727,                                    -0.15085565316160462,                               0.07324873329060663,                             -0.021088068897742243,                                     0.22912382976666393,                                       0.606680310997005,  -3.7781708191851067,-1.2958088818625915,    -5.073979701047698,1.5892597048262988e-05
