galaxies.source.bulge.profile_list.29.centre.centre_0,galaxies.source.bulge.profile_list.29.centre.centre_1,galaxies.source.bulge.profile_list.29.ell_comps.ell_comps_0,galaxies.source.bulge.profile_list.29.ell_comps.ell_comps_1,galaxies.lens.bulge.profile_list.29.centre.centre_0,galaxies.lens.bulge.profile_list.29.centre.centre_1,galaxies.lens.bulge.profile_list.29.ell_comps.ell_comps_0,galaxies.lens.bulge.profile_list.29.ell_comps.ell_comps_1,galaxies.lens.disk.profile_list.29.centre.centre_0,galaxies.lens.disk.profile_list.29.centre.centre_1,galaxies.lens.disk.profile_list.29.ell_comps.ell_comps_0,galaxies.lens.disk.profile_list.29.ell_comps.ell_comps_1,galaxies.lens.point.profile_list.9.centre.centre_0,galaxies.lens.point.profile_list.9.centre.centre_1,galaxies.lens.point.profile_list.9.ell_comps.ell_comps_0,galaxies.lens.point.profile_list.9.ell_comps.ell_comps_1,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,     log_likelihood,          log_prior,      log_posterior,                weight
                                 -0.08442003712245806,                                  0.08410159099951581,                                         0.7447978048028385,                                       -0.06373970136191237,                                0.03836025390546702,                              -0.010895854176573155,                                     0.058381997199351755,                                     -0.24407714187377502,                              -0.07164684496122244,                               0.05333395729538579,                                      0.2196539366447423,                                    -0.16346058228343055,                             -0.014463733929246644,                             -0.011412492943460834,                                    -0.13353210258657428,                                     -0.5815826108390904,                      0.4745770620927403,                     0.10114868774200844,                0.3782978804391308,      -0.050884074643687195,        0.09714575377490903,-1796.1207387299041,-3.8752085279387845, -1799.995947257843, 8.830618073094424e-09
                                 -0.08062821223328126,                                   0.0877261773371181,                                         0.6852064297010899,                                       -0.02210279386155646,                                0.04607226568001252,                               0.006679850541393126,                                     0.031484936351178806,                                      -0.2716439641884296,                              -0.09574879985335363,                               0.02535344929748079,                                       0.174289630704667,                                     -0.1569937156011366,                             -0.012045552011721333,                              -0.01280106671087862,                                    -0.17611375272761237,                                     -0.5851130138319403,                     0.48451876350645606,                     0.03802288771014832,                0.3762816792727387,       -0.06286031762027508,        0.09753283775496047, -1793.686547134784,-3.8894722423187815,-1797.5760193771027,2.5105724092940536e-08
                                  -0.0844336539647316,                                  0.08675714223036063,                                         0.7426326099177555,                                       -0.04099962488440969,                               0.047082680453047004,                              -0.007001585279407446,                                      0.05496672290130451,                                      -0.2617449209617566,                              -0.07784697273025046,                               0.04740135138451679,                                     0.18854493213200532,                                    -0.11771782116031736,                             -0.012826248604159776,                             -0.011540141116888863,                                    -0.12462596466618188,                                     -0.5582517499957954,                     0.48521869333723455,                     0.09419191102015585,               0.38254144122225964,       -0.05534987034623986,        0.09951402424834108,-1785.2224885233702,-3.9703215288040576,-1789.1928100521743,0.00011903281412878234
                                 -0.07610804605067092,                                  0.07798081498747603,                                             0.670546340393,                                       -0.10975947702659206,                               0.056806721126870824,                               0.004354665013001774,                                      0.08187958376322191,                                     -0.22708359732731637,                              -0.08853655697883313,                              0.028461334546320494,                                     0.18347505552877225,                                    -0.10553943911409328,                             -0.011512204468609372,                             -0.012453903883300768,                                    -0.15512222330374162,                                     -0.5537193668403021,                     0.45579325538459475,                     0.08443938424849651,                0.3623241643036147,      -0.054707736433947496,        0.09990070177034813,-1797.4492028837753, -3.093433526231072,-1800.5426364100065, 5.247189412376559e-10
                                 -0.07729716917919989,                                   0.0754723361521126,                                         0.7101452803738152,                                       -0.05195801914679617,                               0.015058212409793034,                              0.0009520159007714579,                                     0.014083985984572014,                                     -0.28053409305875715,                               -0.0771361583697943,                                0.0365748514826561,                                     0.18066469820662426,                                    -0.11647066753562087,                             -0.012509591217641641,                              -0.01312909543227403,                                     -0.1470816965137479,                                     -0.6015225896003914,                      0.4508100139966278,                     0.09632218742670633,                0.3602458047532017,       -0.05005509229834365,        0.09871693899434827, -1784.830027161195, -3.511738103066322,-1788.3417652642613,5.4711967826033175e-05
                                  -0.0725047288200374,                                   0.0808390385970805,                                         0.7760082150880504,                                       0.007506215215449068,                               0.029543927369199335,                              -0.003388407384750311,                                      0.04250939022243958,                                      -0.2568840439789416,                              -0.08685285529364248,                               0.04843700336349238,                                     0.19353728986126603,                                    -0.13974034053473092,                             -0.013088217122890197,                             -0.012026030393474801,                                    -0.14652972963467914,                                     -0.5845613371324229,                       0.456564701322767,                     0.06489107849537047,                0.3594895698435077,       -0.05842525056306789,        0.09908220752268175,-1794.2033487060626,  -4.23424306203276,-1798.4375917680952,2.2759711936961396e-09
                                 -0.07495787952593445,                                  0.08086619455599878,                                         0.7035121274531018,                                      -0.028629970075099397,                               0.016953628587145525,                              0.0011355262426035323,                                      0.02258985966043815,                                      -0.2559858364312764,                              -0.09042839290910558,                              0.040530725295244485,                                     0.16554882948662117,                                    -0.11722265942466205,                             -0.012385185071133523,                             -0.012699482976926468,                                    -0.15511729778956349,                                     -0.6315571422343809,                     0.46107663078476946,                     0.07658805485908007,               0.36339329490742306,       -0.05497010287511639,        0.09940190400190149,-1792.8102009402055,-3.8313885663924085, -1796.641589506598, 4.512985710991884e-09
                                 -0.07372724790309194,                                  0.07769666584345758,                                         0.6777484626485862,                                       -0.03876162660326247,                               0.043625169281306664,                              -0.004155786366208711,                                      0.08040063885075135,                                     -0.24199765838695148,                              -0.08404912243821683,                              0.030000199086010537,                                     0.14842542549376536,                                    -0.15709959324287107,                             -0.011275204175650519,                             -0.012601792919765875,                                    -0.17397398745659193,                                     -0.5956543554831988,                     0.45448164116890016,                     0.05826337552426472,               0.35770979541975156,      -0.058088145164320475,        0.09924970136930536,-1793.2938819542305,-3.4691311962377918,-1796.7630131504684,2.7823000468816306e-09
                                 -0.08311147930147866,                                  0.08451898606217328,                                         0.7096593837215053,                                       -0.09771855005100093,                               0.007898001621933631,                              -0.009752896333567435,                                      0.02327267871317676,                                     -0.31072509405515225,                              -0.05783533967501904,                               0.04439390707246174,                                      0.1348829801626354,                                    -0.18843968144528464,                             -0.013705805640237517,                               -0.0119636462662316,                                    -0.16493029941286522,                                     -0.6175559188098858,                     0.47521029256936353,                      0.0898270076225795,               0.37726094429700063,       -0.05644254851978429,        0.09755948933277804,-1782.9542621883709, -4.181020553516452,-1787.1352827418873,1.7518064396619202e-05
                                   -0.074929719668053,                                  0.07707696745266807,                                          0.678670175310809,                                       -0.07847932817271715,                               0.031861897465715466,                               -0.00799588956000262,                                      0.09396159945012404,                                      -0.2537330464987143,                              -0.07730100515580607,                              0.044170954871925544,                                     0.19174632561093635,                                    -0.09951253113326687,                             -0.012719631493504496,                             -0.011669260481683597,                                    -0.14685069305510892,                                     -0.5865227376486806,                       0.451784847522725,                     0.08094861199703415,               0.35968577813130737,      -0.058170280127900764,        0.09832040091078952,-1790.4817288544823,-3.3915189765184888,-1793.8732478310008, 9.426465506294857e-09
