galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.pixelization.regularization.signal_scale,galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.outer_coefficient,galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,    log_likelihood,         log_prior,     log_posterior,                weight
                     0.32344127260598604,                      0.0955193084431532,                0.8805199059201041,        0.00535325731952721,        0.09716168241839004,                                    0.026253620759317774,                                         0.014080005093681307,                                            52.05804501172773,              -0.02896735087016433,              0.044133498850060376, 7460.037111493897, 73.28718632724254, 7533.324297821139, 1.284454196190734e-10
                      0.3115372046260477,                     0.10728224684329976,                0.8710826743201383,       0.016643451243217665,        0.09927279549866615,                                     0.03814946751643675,                                        0.0012117603198878815,                                            35.65821302157377,             -0.016083426830376515,               0.06127951499864977,7460.8080686674275, 827.6083147600034, 8288.416383427431, 2.776777413695556e-10
                     0.31307153801343257,                      0.1110481087681615,                0.8731218692251386,       0.017733895716491296,        0.09785574286291464,                                    0.042199500754498076,                                         0.002432343769943992,                                            33.48861771348313,             -0.019068551815858505,              0.053502110976987455,  7465.25289171704, 413.3909627834916, 7878.643854500532,  8.52661427719252e-10
                     0.30803525029677326,                     0.10885290512940543,                 0.870131229164449,       0.017099476143131426,         0.0967931867149783,                                     0.03573255657795818,                                        0.0015403919326062803,                                            39.39480075505499,             -0.016290248805910592,              0.059223006027846185, 7465.420785215238, 651.6623511134778, 8117.083136328715, 1.008537002607605e-09
                     0.30724534982583573,                     0.10566880621524323,                0.8701015418874989,       0.014901903931459487,        0.09584985924966813,                                    0.033174357561693374,                                       0.00019993466627445277,                                            42.76628351669182,             -0.018056878833495486,               0.05929568112387673,  7468.10760288073,5004.2129669188835,12472.320569799613,4.0019488009129545e-09
                      0.3081315552552941,                     0.10859817878483297,                 0.869644423253453,        0.01855171510852091,        0.09739736387431602,                                     0.04001641389343137,                                         0.011149974283439964,                                            36.53908247786155,             -0.013852215776774625,              0.061184369901745056, 7469.607133471966, 92.14486221460058, 7561.751995686567,1.7927073100505256e-08
                      0.3083200949680092,                     0.10792324810301746,                0.8703231440573016,       0.016711837973433397,         0.0966238897339623,                                     0.04310538490308346,                                        0.0032814958966317274,                                             33.1983073551565,              -0.01677414945520905,               0.05882486065761664, 7466.086651417949, 307.2291110867385, 7773.315762504687, 5.303755067114686e-10
                     0.31187656791261137,                     0.10534634187876209,                 0.872942507042819,       0.014011245509876556,        0.09646689392944169,                                     0.03869642647466066,                                        0.0007771532991141431,                                            38.34069850138425,               -0.0198863246161696,               0.05350945429272839, 7470.013539534563,   1289.1558629586, 8759.169402493164,1.0142468833009583e-08
                      0.3081561715017581,                     0.11010245940179954,                0.8712043907709464,       0.018121280573147457,         0.0953775741366891,                                    0.038153095551333935,                                         0.000945991229768437,                                            36.66027214116449,              -0.01692721844179509,               0.05603274407038377, 7465.569474321691,1059.5720867806049, 8525.141561102297,1.1915456421737285e-10
                     0.30894741089791744,                     0.10703326877149068,                0.8707386436227538,        0.01521010865754846,        0.09664115379937972,                                     0.03222729572640492,                                        0.0015494014869789116,                                           42.720831354787244,             -0.018798136060194228,              0.058070585775079425, 7466.852295966971, 647.9026050324919, 8114.754900999463,4.2976697989132604e-10
                      0.3079667820705162,                     0.10966147846047138,                0.8707420448448334,        0.01785888539056696,        0.09591507828391954,                                    0.036924146542104797,                                         0.003604517409639166,                                           42.084314051360785,             -0.016047971714751405,              0.057580263449886884, 7470.724879336578, 279.9082611020375, 7750.633140438616,2.0657351175749103e-08
                      0.3136122530258024,                     0.10963294062746332,                0.8739342193642935,       0.016432505718438756,        0.09727350641858357,                                    0.036731497611482325,                                          0.00889497858137044,                                            41.28418449118273,              -0.02019775865839235,                0.0523648597551861,7471.5874251224395,114.71613231862274, 7586.303557441062, 1.394534992653686e-08
                      0.3092030298373255,                     0.10996199863620021,                0.8715351200465706,       0.017676205125124154,        0.09598540725257822,                                     0.04476073300298269,                                         0.004471421563266459,                                            33.19924935894376,             -0.017322707519314317,               0.05568666856756596,  7469.97679361687,226.08272948899042,7696.0595231058605,2.7857429564732177e-09
                     0.30731015132983636,                      0.1078405992675717,                0.8700372522564841,       0.016725721700419874,        0.09579089286551558,                                    0.035296151087494926,                                       0.00022758529546158433,                                            43.43693664288456,             -0.016926783054473253,               0.05885697102871421, 7475.161315432109,  4396.49797826067, 11871.65929369278, 4.972219091688963e-07
                       0.310804458796588,                      0.1080026458328335,                0.8719660480233096,        0.01616492351399456,        0.09712905955659888,                                     0.04487370494952928,                                        0.0001234610917003102,                                            32.53208485178675,              -0.01885826146922345,               0.05648655984845763, 7467.323049027762, 8102.129040855652,15569.452089883414,1.9608050180522769e-10
                      0.3133572570361823,                       0.110384902119106,                0.8735643479297273,        0.01716351579663264,        0.09788576990763334,                                     0.03232515570210541,                                         0.003232435084365145,                                           43.306689636346015,              -0.01949694591709694,               0.05356637194194767, 7473.203309591582,   311.63113751114, 7784.834447102722, 7.017769905208169e-08
                     0.30931934332106703,                     0.10857494974474459,                0.8714738881033522,       0.016820919130651278,        0.09579194040880022,                                    0.030809773903282395,                                       0.00027399234858395573,                                            49.94769187216974,             -0.017666209591052327,               0.05535015289516462, 7468.227292745928,3652.1850898849198,11120.412382630848,3.1655897168895185e-10
                      0.3117223437656307,                     0.11094896786464095,                0.8729249964040963,       0.017758272337786787,        0.09686018961716013,                                     0.03900522810268513,                                        0.0015254867492025116,                                            37.67349937001948,             -0.018773768967177445,               0.05393967560834487, 7474.065925666453, 657.8660447626905, 8131.931970429144, 1.086777618306519e-07
                      0.3070707129970157,                     0.10593633169435517,                0.8699960653873127,        0.01522374136693737,        0.09552160534129327,                                     0.03787479585018458,                                       0.00010483441569831569,                                           42.683577109362346,             -0.017104071718336368,               0.05862673544552384, 7467.371715617235, 9541.425989996253,17008.797705613488,1.3454953483641142e-10
                      0.3074542605264297,                      0.1068306346358013,                0.8705079392567795,       0.015382604882442023,        0.09566961739904403,                                     0.03311810852184274,                                        0.0003711355467947311,                                           46.769789179945434,             -0.017125084376185346,               0.05797085589506967, 7471.943670820669, 2696.975356277161,10168.919027097829,1.3015387930760905e-08
