7.516143007184818531e-07,4.655464441062747898e-07,5.031809998169949428e-07,1.605770704164149874e-07,2.298517973042473961e-07,-2.538936162686129348e-07,2.490804519491982488e-07,8.952646781036394281e-04,-2.718502890103027581e-07,-7.622405863110406988e-07
4.655464441062746839e-07,5.461612781284021401e-07,3.690396958126629772e-07,2.731048503990794618e-07,1.016347522573191433e-07,5.027085628085238958e-08,5.386978348717087283e-08,2.550546709662403804e-05,-1.143372474060465475e-07,-6.203880269556615326e-07
5.031809998169949428e-07,3.690396958126629772e-07,3.947862715508196254e-07,1.118979060701930152e-07,1.075498777517872132e-07,7.317807605774336722e-08,1.052246896342845300e-07,7.070833168018500047e-05,-2.103032806831225797e-07,-6.241347674455978800e-07
1.605770704164150139e-07,2.731048503990794618e-07,1.118979060701930284e-07,1.817221580206584007e-07,4.923665065144348451e-08,-5.626722837875224159e-08,1.401464954642148272e-08,1.254950850212287357e-04,1.209297386286037411e-08,-2.048137170715684104e-07
2.298517973042473961e-07,1.016347522573191433e-07,1.075498777517872132e-07,4.923665065144348451e-08,1.191381290791949560e-07,-2.531685292263619790e-07,1.420718557957768462e-07,6.348920166573678329e-04,-4.378162570137678193e-08,-1.403718378602903088e-07
-2.538936162686129877e-07,5.027085628085246237e-08,7.317807605774343339e-08,-5.626722837875222835e-08,-2.531685292263619790e-07,9.804930331875317013e-06,4.904142102159176788e-07,-2.423843133115662074e-02,9.917583415371981472e-09,-3.115779289425670829e-07
2.490804519491983018e-07,5.386978348717091916e-08,1.052246896342845035e-07,1.401464954642148934e-08,1.420718557957768462e-07,4.904142102159175729e-07,3.151575301526090584e-06,-1.295045302235126126e-03,-6.166121845560104477e-08,-1.184270809248674976e-07
8.952646781036394281e-04,2.550546709662400755e-05,7.070833168018485139e-05,1.254950850212286815e-04,6.348920166573678329e-04,-2.423843133115661727e-02,-1.295045302235126343e-03,6.265184052165650286e+01,-1.738998510874516636e-04,4.019294138073236191e-04
-2.718502890103027581e-07,-1.143372474060465475e-07,-2.103032806831226062e-07,1.209297386286037577e-08,-4.378162570137678193e-08,9.917583415371974854e-09,-6.166121845560104477e-08,-1.738998510874517449e-04,1.755603016603398431e-07,3.134478157465167709e-07
-7.622405863110406988e-07,-6.203880269556615326e-07,-6.241347674455978800e-07,-2.048137170715684104e-07,-1.403718378602903088e-07,-3.115779289425672417e-07,-1.184270809248674976e-07,4.019294138073234023e-04,3.134478157465167709e-07,1.018584290861077022e-06
