1.436898183219017090e-05,1.746299245736042860e-06,1.976904620835985571e-04,-1.918175091333086972e-04,2.075686759780504673e-05,7.338610403827979013e-06,-1.905236883328725240e-05,-2.584366346278418926e-05,-8.919347580431918724e-06,2.496987346187825349e-06,1.293177340088978066e-05,5.843523007894490173e-05,2.904381332767810433e-05,3.634714508127644280e-05,-5.043750664978838543e-04,1.860977884533674862e-04,-5.325676204386697318e-05,3.284194964058079127e-05,-1.463982782721342884e-05,1.844668647446015127e-05,-6.737421784566236762e-06
1.746299245736043071e-06,2.122322299013895142e-07,2.402582930771075817e-05,-2.331207426040750520e-05,2.522635399864296724e-06,8.918801598207678427e-07,-2.315483289742813959e-06,-3.140846758606916533e-06,-1.083991206480058240e-06,3.034652816869490521e-07,1.571631615916735004e-06,7.101783508603650970e-06,3.529769186136684747e-06,4.417361841038447896e-06,-6.129799650940668241e-05,2.261694192425089568e-05,-6.472430995716075677e-06,3.991366441661480367e-06,-1.779215854744494277e-06,2.241873157951439089e-06,-8.188161637337290296e-07
1.976904620835985571e-04,2.402582930771075817e-05,2.719853031707103030e-03,-2.639052123466197573e-03,2.855758880302442719e-04,1.009656285133687167e-04,-2.621251555904855249e-04,-3.555607371181483570e-04,-1.227136317139492872e-04,3.435390120536666774e-05,1.779171474387354396e-04,8.039600697655838743e-04,3.995888466192941847e-04,5.000691065277726183e-04,-6.939262720482836447e-03,2.560359406235978783e-03,-7.327139821376992554e-04,4.518441373227816376e-04,-2.014167991710105884e-04,2.537920929705461096e-04,-9.269439139098597689e-05
-1.918175091333087243e-04,-2.331207426040750520e-05,-2.639052123466197573e-03,2.560651634180451369e-03,-2.770920505377221150e-04,-9.796615964873172462e-05,2.543379882701960262e-04,3.449978022245964214e-04,1.190680770532977488e-04,-3.333332164218721650e-05,-1.726316165894240982e-04,-7.800761675586662591e-04,-3.877179325098248255e-04,-4.852131427975186736e-04,6.733112342576076312e-03,-2.484296706143258870e-03,7.109466459811653212e-04,-4.384208323671848011e-04,1.954331448638589293e-04,-2.462524827867158513e-04,8.994064296196564745e-05
2.075686759780504673e-05,2.522635399864296724e-06,2.855758880302442177e-04,-2.770920505377221150e-04,2.998455683948330244e-05,1.060106876625605850e-05,-2.752230477535598250e-05,-3.733274263994794444e-05,-1.288453969445995185e-05,3.607049987501809531e-06,1.868073266581423916e-05,8.441324151991462922e-05,4.195555362366896996e-05,5.250566023544548440e-05,-7.286004392793453584e-04,2.688295663731170770e-04,-7.693262969794293293e-05,4.744219237692570690e-05,-2.114812109953186935e-05,2.664735979488870070e-05,-9.732615265718704489e-06
7.338610403827979013e-06,8.918801598207677368e-07,1.009656285133687031e-04,-9.796615964873171107e-05,1.060106876625605850e-05,3.748018007686731688e-06,-9.730537192572829400e-06,-1.319902688833095471e-05,-4.555341339668087456e-06,1.275275975080533437e-06,6.604590911731319781e-06,2.984438232406494871e-05,1.483342613572283227e-05,1.856342642492179985e-05,-2.575973825884235956e-04,9.504495046501817979e-05,-2.719960485535260705e-05,1.677323251772978822e-05,-7.476938453798785086e-06,9.421199557393559126e-06,-3.440975441449126433e-06
-1.905236883328725240e-05,-2.315483289742813959e-06,-2.621251555904855249e-04,2.543379882701960262e-04,-2.752230477535598250e-05,-9.730537192572829400e-06,2.526224630240810870e-05,3.426707710028910044e-05,1.182649556101325233e-05,-3.310848635429740951e-06,-1.714672058045822216e-05,-7.748145062219498010e-05,-3.851027514033143257e-05,-4.819403505501740093e-05,6.687697089089260751e-04,-2.467539973312214067e-04,7.061512674845572585e-05,-4.354636571081368934e-05,1.941149363798576433e-05,-2.445914947683223238e-05,8.933398783859040719e-06
-2.584366346278418926e-05,-3.140846758606916110e-06,-3.555607371181483027e-04,3.449978022245964214e-04,-3.733274263994794444e-05,-1.319902688833095471e-05,3.426707710028910044e-05,4.648171658769809929e-05,1.604209817148512493e-05,-4.491014144171457603e-06,-2.325873911266815333e-05,-1.051000299233052142e-04,-5.223741988697539672e-05,-6.537299554580354726e-05,9.071554011147275713e-04,-3.347104667627073685e-04,9.578617688108584914e-05,-5.906864549521847194e-05,2.633079976982182087e-05,-3.317771313353914335e-05,1.211774524045179026e-05
-8.919347580431918724e-06,-1.083991206480058240e-06,-1.227136317139492601e-04,1.190680770532977353e-04,-1.288453969445995185e-05,-4.555341339668088303e-06,1.182649556101325233e-05,1.604209817148512493e-05,5.536562171881506084e-06,-1.549970506239744984e-06,-8.027220240164999193e-06,-3.627286429223467904e-05,-1.802854712714577841e-05,-2.256198973054699265e-05,3.130838761950318098e-04,-1.155176392141259243e-04,3.305840157814436887e-05,-2.038618793484353408e-05,9.087471501708542726e-06,-1.145052657832498320e-05,4.182161783926517167e-06
2.496987346187825349e-06,3.034652816869490521e-07,3.435390120536666774e-05,-3.333332164218721650e-05,3.607049987501809531e-06,1.275275975080533437e-06,-3.310848635429740951e-06,-4.491014144171457603e-06,-1.549970506239744984e-06,4.339170220853266124e-07,2.247234697830239492e-06,1.015465339038981733e-05,5.047124090712242331e-06,6.316269475313730317e-06,-8.764839245300193858e-05,3.233937020371112771e-05,-9.254758790533066322e-06,5.707149861721858723e-06,-2.544053939370067651e-06,3.205595444670439126e-06,-1.170803689395981990e-06
1.293177340088978066e-05,1.571631615916735004e-06,1.779171474387354125e-04,-1.726316165894240982e-04,1.868073266581423916e-05,6.604590911731320628e-06,-1.714672058045822555e-05,-2.325873911266815333e-05,-8.027220240165000887e-06,2.247234697830239068e-06,1.163831684422629050e-05,5.259044536592555184e-05,2.613880489499006770e-05,3.271164578323420554e-05,-4.539266696264707590e-04,1.674839914749096960e-04,-4.792993594532372691e-05,2.955704556908673417e-05,-1.317552894843544849e-05,1.660161953511334469e-05,-6.063534134968616898e-06
5.843523007894490173e-05,7.101783508603650970e-06,8.039600697655837659e-04,-7.800761675586661507e-04,8.441324151991462922e-05,2.984438232406494871e-05,-7.748145062219498010e-05,-1.051000299233052142e-04,-3.627286429223467904e-05,1.015465339038981733e-05,5.259044536592555184e-05,2.376421763391394024e-04,1.181142779630131763e-04,1.478151904109853529e-04,-2.051173381739501873e-03,7.568154245343484141e-04,-2.165825790329246837e-04,1.335603945986714349e-04,-5.953669629415636637e-05,7.501828458815284041e-05,-2.739949125957061703e-05
2.904381332767810433e-05,3.529769186136684747e-06,3.995888466192941847e-04,-3.877179325098248255e-04,4.195555362366897674e-05,1.483342613572283396e-05,-3.851027514033143257e-05,-5.223741988697539672e-05,-1.802854712714578180e-05,5.047124090712242331e-06,2.613880489499006770e-05,1.181142779630131763e-04,5.870583611729964473e-05,7.346795403204423502e-05,-1.019485962859410138e-03,3.761567445526852881e-04,-1.076471160798231298e-04,6.638295363010026338e-05,-2.959127038565711668e-05,3.728601822560467528e-05,-1.361825235121390226e-05
