y,x,reconstruction,noise_map
-0.6550901300643284,-1.0781382639168906,6.788116162498449e-16,0.01763097638790312
-0.6704454961060625,-0.9948217740879448,2.2032536964337925e-16,0.013971033985341467
-0.6859221944302746,-0.97958148660566,3.44679362979785e-16,0.014272518166651973
-0.7634647686251156,-0.9993493771572408,5.368733927350149e-16,0.017553438925012824
-0.9019168882440862,-0.8271645212078725,7.14730552494683e-16,0.01566385853960356
-0.8417638604355986,-0.8619069129465649,0.0048850234870467255,0.01535524297962617
-0.7704574558447317,-0.8121442629126152,0.0038043096657550423,0.012978009066178641
-0.8076248848435107,-0.8927095735839103,0.0061554251377823645,0.014522191961457891
-0.7676921441404466,-0.9343540611005634,2.116038478344805e-15,0.014558368976244148
-0.7070106623748799,-0.8938228805596502,3.3902677900710505e-15,0.013875069402287483
-0.6753093638671817,-0.9346107569344841,2.255339383193347e-16,0.013392070986046743
-0.6902693836342159,-0.879911991756191,2.48331275048746e-15,0.012956699197385091
-0.6245264482249476,-0.7985786528807101,2.1152086884922684e-16,0.013140695644528294
-0.7175025128863809,-0.7950698231534192,0.0004164793055612106,0.013610629643152922
-0.7479255135376447,-0.830422147220027,0.005292648032136463,0.014982762689652169
-0.7416284117888675,-0.710228050740235,3.8769546484007146e-16,0.013898818973355131
-0.6859937482285251,-0.7677923413039227,1.2867483402031477e-16,0.013036238716197263
-0.6027994599122214,-0.6927017724092684,2.0428624819339604e-16,0.01306621112857714
-0.6204271228805296,-0.655725681796055,3.47422738645448e-16,0.014020733862846156
-0.6391209409114614,-0.6384205710632416,2.691174912204653e-15,0.013733580191454372
-0.6978533765194567,-0.6758386935289195,2.0670591711286376e-16,0.013257121480001431
-0.7539735065413695,-0.6466367255130163,1.8676070585751475e-16,0.013192606685106564
-0.786892499783603,-0.7046066889678969,3.1544784782166333e-16,0.01394585561597685
-0.7604784683121093,-0.7479699201703516,5.576528197836832e-16,0.013493810387657
-0.8092599297500548,-0.7320045430129338,1.762288045488771e-15,0.013234556164112395
-0.8828755915561237,-0.7866658220105475,7.289694327981228e-16,0.013382883051074324
-0.879492632002751,-0.6930379876119512,1.4975080355434861e-16,0.012436658065095862
-0.8514564096751343,-0.667674827870537,1.8064649204865343e-16,0.012833398760746257
-0.9214448974066002,-0.725581261895009,3.6211083081409817e-16,0.014683709924091511
-0.9838183025117778,-0.6685755474331094,3.432384267853495e-16,0.013766138303474031
-0.944708679116588,-0.7552718165565602,3.54795497988871e-16,0.01378826861724692
-1.0637256574313714,-0.5229565738323947,0.0007682023776006353,0.014529237977999094
-1.05142354236491,-0.6329043408203061,1.815680938348466e-15,0.016389850679148783
-0.9979556416115908,-0.6497566224654034,3.22272255338575e-15,0.014463997671382177
-0.9063381547737697,-0.606245095604624,4.074694229643271e-15,0.012539649030816488
-0.942400600746795,-0.5473136007166459,0.0055975194048652034,0.01346792649267667
-0.9104783545802738,-0.5202745151550399,0.00549288826839835,0.01319840533221128
-0.9795575415071441,-0.5774809914573467,0.004014463406140313,0.013481949092261133
-1.0365700473915735,-0.512668116129342,0.0015647168421481963,0.013191207451565427
-0.9589487112105649,-0.43603545060619503,0.003017040512043799,0.013268498280064987
-0.9047118378485584,-0.479467886533574,0.00483534653096648,0.013214680422258217
-0.9326406045315179,-0.45809653820119284,0.004573407173824129,0.013118730501805518
-0.8729782101341719,-0.38966575987998725,9.982135923937619e-14,0.013061170465527884
-0.9623453226022276,-0.36696513260175334,1.872144826738281e-16,0.013619306845501066
-1.0235188832815147,-0.39492287235633894,2.4527399126284893e-16,0.01346925687853066
-1.0795449145696894,-0.3714790780395052,2.3433378655398214e-16,0.01383311419752578
-1.0554518445315173,-0.4224570950358397,4.386556609972464e-16,0.013299197103606065
